# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  146       5.659890416318e-10       1.484526934973e-13      -6.120696643600e-12       0.000000000000e+00       3.646776371026e-12       6.284126468137e-13      -4.107898087392e-15 
  147       5.704554863996e-10       1.480185413139e-13      -6.137801722414e-12       0.000000000000e+00       3.576111887576e-12       6.192968713444e-13      -4.048764953659e-15 
  148       5.749014406468e-10       1.475218047659e-13      -6.151856003882e-12       0.000000000000e+00       3.507155404369e-12       6.103970998908e-13      -3.990775832417e-15 
  149       5.793257623053e-10       1.469634016175e-13      -6.162813010802e-12       0.000000000000e+00       3.439895908912e-12       6.017088386312e-13      -3.933838464036e-15 
  150       5.837272702043e-10       1.463443505811e-13      -6.170627705655e-12       0.000000000000e+00       3.374315991777e-12       5.932265705430e-13      -3.877850974982e-15 
  151       5.881047432719e-10       1.456657730830e-13      -6.175256530966e-12       0.000000000000e+00       3.310391697810e-12       5.849437325479e-13      -3.822701682201e-15 
  152       5.924569197364e-10       1.449288950307e-13      -6.176657449676e-12       0.000000000000e+00       3.248092377342e-12       5.768526926562e-13      -3.768268897503e-15 
  153       5.967824963273e-10       1.441350485791e-13      -6.174789985505e-12       0.000000000000e+00       3.187380537394e-12       5.689447271114e-13      -3.714420731946e-15 
  154       6.010801274770e-10       1.432856738971e-13      -6.169615263317e-12       0.000000000000e+00       3.128211692886e-12       5.612099975349e-13      -3.661014900216e-15 
  155       6.053484245219e-10       1.423823209338e-13      -6.161096049489e-12       0.000000000000e+00       3.070534217848e-12       5.536375280707e-13      -3.607898525018e-15 
  156       6.095859549039e-10       1.414266511856e-13      -6.149196792277e-12       0.000000000000e+00       3.014289196623e-12       5.462151825298e-13      -3.554907941453e-15 
  157       6.137912413717e-10       1.404204394624e-13      -6.133883662179e-12       0.000000000000e+00       2.959410275080e-12       5.389296415349e-13      -3.501868501405e-15 
  158       6.179627611820e-10       1.393655756540e-13      -6.115124592304e-12       0.000000000000e+00       2.905823511819e-12       5.317663796650e-13      -3.448594377926e-15 
  159       6.220989453008e-10       1.382640664968e-13      -6.092889318737e-12       0.000000000000e+00       2.853447229383e-12       5.247096426001e-13      -3.394888369615e-15 
  160       6.261981776051e-10       1.371180373405e-13      -6.067149420907e-12       0.000000000000e+00       2.802191865462e-12       5.177424242657e-13      -3.340541705006e-15 
  161       6.302589061197e-10       1.359296850299e-13      -6.037878210847e-12       0.000000000000e+00       2.751978331820e-12       5.108501617926e-13      -3.285381155562e-15 
  162       6.342799894608e-10       1.347011281611e-13      -6.005050305243e-12       0.000000000000e+00       2.702795227935e-12       5.040322355794e-13      -3.229415467366e-15 
  163       6.382603796454e-10       1.334345468976e-13      -5.968642092510e-12       0.000000000000e+00       2.654646426103e-12       4.972914472656e-13      -3.172701565207e-15 
  164       6.421990125307e-10       1.321322321929e-13      -5.928631919849e-12       0.000000000000e+00       2.607532955642e-12       4.906303876786e-13      -3.115298430496e-15 
  165       6.460948075299e-10       1.307965873326e-13      -5.885000132915e-12       0.000000000000e+00       2.561452939254e-12       4.840514310841e-13      -3.057267123317e-15 
  166       6.499466673301e-10       1.294301294754e-13      -5.837729115492e-12       0.000000000000e+00       2.516401529384e-12       4.775567294355e-13      -2.998670804465e-15 
  167       6.537534776080e-10       1.280354911950e-13      -5.786803329159e-12       0.000000000000e+00       2.472370844579e-12       4.711482066238e-13      -2.939574757494e-15 
  168       6.575141067477e-10       1.266154220220e-13      -5.732209352965e-12       0.000000000000e+00       2.429349905848e-12       4.648275527275e-13      -2.880046410764e-15 
  169       6.612274055566e-10       1.251727899848e-13      -5.673935923097e-12       0.000000000000e+00       2.387324573024e-12       4.585962182622e-13      -2.820155359479e-15 
  170       6.648922069829e-10       1.237105831521e-13      -5.611973972553e-12       0.000000000000e+00       2.346277481120e-12       4.524554084309e-13      -2.759973387740e-15 
