# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 300, i.e. number of multipoles equal to 299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[2]-dens[2]        4:dens[3]-dens[3]    
  254       1.560492842345e-02       1.233558069024e-02       1.008375959796e-02 
  255       1.562033818767e-02       1.234982324604e-02       1.009798046696e-02 
  256       1.563566334704e-02       1.236387089380e-02       1.011200460761e-02 
  257       1.565090497093e-02       1.237772748912e-02       1.012583436893e-02 
  258       1.566606385707e-02       1.239139684844e-02       1.013947207814e-02 
  259       1.568114052687e-02       1.240488274730e-02       1.015292003949e-02 
  260       1.569613522087e-02       1.241818891873e-02       1.016618053321e-02 
  261       1.571104789407e-02       1.243131905158e-02       1.017925581432e-02 
  262       1.572587821138e-02       1.244427678884e-02       1.019214811155e-02 
  263       1.574062554296e-02       1.245706572601e-02       1.020485962621e-02 
  264       1.575528895962e-02       1.246968940941e-02       1.021739253107e-02 
  265       1.576986722826e-02       1.248215133455e-02       1.022974896922e-02 
  266       1.578435880717e-02       1.249445494443e-02       1.024193105299e-02 
  267       1.579876184149e-02       1.250660362794e-02       1.025394086281e-02 
  268       1.581307415857e-02       1.251860071813e-02       1.026578044607e-02 
  269       1.582729326338e-02       1.253044949061e-02       1.027745181602e-02 
  270       1.584141633387e-02       1.254215316184e-02       1.028895695066e-02 
  271       1.585544021637e-02       1.255371488751e-02       1.030029779159e-02 
  272       1.586936142099e-02       1.256513776086e-02       1.031147624290e-02 
  273       1.588317611701e-02       1.257642481101e-02       1.032249417009e-02 
  274       1.589688012825e-02       1.258757900134e-02       1.033335339887e-02 
  275       1.591046892849e-02       1.259860322778e-02       1.034405571411e-02 
  276       1.592393763681e-02       1.260950031717e-02       1.035460285869e-02 
  277       1.593728101305e-02       1.262027302563e-02       1.036499653239e-02 
