# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 300, i.e. number of multipoles equal to 299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:z=0.5                    3:z=1    
  288       2.761103149229e-02       2.375893776999e-02 
  289       2.764205675347e-02       2.382042560851e-02 
  290       2.767374355701e-02       2.388163904286e-02 
  291       2.770616351646e-02       2.394263437068e-02 
  292       2.773938958231e-02       2.400346939047e-02 
  293       2.777349605074e-02       2.406420341379e-02 
  294       2.780855857238e-02       2.412489727732e-02 
  295       2.784465416103e-02       2.418561335504e-02 
  296       2.788186120239e-02       2.424641557035e-02 
  297       2.792025946284e-02       2.430736940822e-02 
  298       2.795993009816e-02       2.436854192730e-02 
  299       2.800095566224e-02       2.443000177208e-02 
  300       2.804342011589e-02       2.449181918501e-02 
