# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 300, i.e. number of multipoles equal to 299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[2]-dens[2]        4:dens[3]-dens[3]    
  244       1.230177914814e-02       7.911771109070e-03       6.440454063151e-03 
  245       1.231791043351e-02       7.928427452955e-03       6.453023029122e-03 
  246       1.233381371261e-02       7.945361220990e-03       6.465197440209e-03 
  247       1.234949396828e-02       7.962578775755e-03       6.476984410944e-03 
  248       1.236495617743e-02       7.980086367572e-03       6.488391388336e-03 
  249       1.238020530951e-02       7.997890131784e-03       6.499426155134e-03 
  250       1.239524615394e-02       8.015994009970e-03       6.510096910498e-03 
  251       1.241008279433e-02       8.034393386162e-03       6.520412510474e-03 
  252       1.242471910087e-02       8.053081078006e-03       6.530382247731e-03 
  253       1.243915889688e-02       8.072049373114e-03       6.540015778782e-03 
  254       1.245340595688e-02       8.091290022368e-03       6.549323127392e-03 
  255       1.246746400475e-02       8.110794233225e-03       6.558314687980e-03 
  256       1.248133671186e-02       8.130552663028e-03       6.567001229030e-03 
  257       1.249502769522e-02       8.150555412309e-03       6.575393896498e-03 
  258       1.250854051559e-02       8.170792018096e-03       6.583504217215e-03 
  259       1.252187867562e-02       8.191251447219e-03       6.591344102299e-03 
  260       1.253504561799e-02       8.211922089618e-03       6.598925850556e-03 
  261       1.254804472353e-02       8.232791751648e-03       6.606262151891e-03 
  262       1.256087930938e-02       8.253847649385e-03       6.613366090714e-03 
  263       1.257355262708e-02       8.275076401935e-03       6.620251149345e-03 
  264       1.258606786077e-02       8.296464024737e-03       6.626931211422e-03 
  265       1.259842812523e-02       8.317995922873e-03       6.633420565310e-03 
  266       1.261063646412e-02       8.339656884369e-03       6.639733907502e-03 
  267       1.262269584801e-02       8.361431073507e-03       6.645886346031e-03 
  268       1.263460917261e-02       8.383302024131e-03       6.651893403877e-03 
  269       1.264637925682e-02       8.405252632947e-03       6.657771022368e-03 
  270       1.265800884092e-02       8.427265152838e-03       6.663535564593e-03 
  271       1.266950058468e-02       8.449321186164e-03       6.669203818807e-03 
  272       1.268085706548e-02       8.471401678073e-03       6.674793001834e-03 
  273       1.269208077650e-02       8.493486909803e-03       6.680320762479e-03 
  274       1.270317412478e-02       8.515556491992e-03       6.685805184934e-03 
  275       1.271413942938e-02       8.537589357982e-03       6.691264792181e-03 
  276       1.272497891956e-02       8.559563757126e-03       6.696718549401e-03 
  277       1.273569473285e-02       8.581457248098e-03       6.702185867384e-03 
  278       1.274628891320e-02       8.603246692191e-03       6.707686605929e-03 
  279       1.275676520490e-02       8.624914686376e-03       6.713237799693e-03 
  280       1.276713454099e-02       8.646469245133e-03       6.718843640939e-03 
  281       1.277740983555e-02       8.667925125267e-03       6.724504984441e-03 
  282       1.278760421443e-02       8.689297481194e-03       6.730222576683e-03 
  283       1.279773101614e-02       8.710601868139e-03       6.735997054230e-03 
  284       1.280780379277e-02       8.731854245338e-03       6.741828942100e-03 
  285       1.281783631083e-02       8.753070979232e-03       6.747718652138e-03 
  286       1.282784255219e-02       8.774268846666e-03       6.753666481384e-03 
  287       1.283783671493e-02       8.795465038091e-03       6.759672610451e-03 
  288       1.284783321427e-02       8.816677160760e-03       6.765737101891e-03 
  289       1.285784668346e-02       8.837923241926e-03       6.771859898571e-03 
