# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  105       3.760831564517e-10       1.117406550589e-13      -3.484039153512e-12       0.000000000000e+00       9.507496812589e-12       1.380352484971e-12      -6.960582999388e-15 
  106       3.802875925864e-10       1.135595870011e-13      -3.570924875538e-12       0.000000000000e+00       9.270844940444e-12       1.352947811782e-12      -6.826136981183e-15 
  107       3.845150237776e-10       1.153476631781e-13      -3.657435127216e-12       0.000000000000e+00       9.041567649290e-12       1.326346052907e-12      -6.717970456222e-15 
  108       3.887651221180e-10       1.171031737848e-13      -3.743505779555e-12       0.000000000000e+00       8.819599226529e-12       1.300535163997e-12      -6.633366945645e-15 
  109       3.930374423997e-10       1.188244167863e-13      -3.829072681728e-12       0.000000000000e+00       8.604818701008e-12       1.275496271631e-12      -6.569309851453e-15 
  110       3.973314178265e-10       1.205096990321e-13      -3.914071702878e-12       0.000000000000e+00       8.397048065223e-12       1.251203455216e-12      -6.522474736934e-15 
  111       4.016463557257e-10       1.221573373685e-13      -3.998438773908e-12       0.000000000000e+00       8.196050497516e-12       1.227623528878e-12      -6.489221607094e-15 
  112       4.059814332603e-10       1.237656597520e-13      -4.082109929285e-12       0.000000000000e+00       8.001528584275e-12       1.204715823357e-12      -6.465587189094e-15 
  113       4.103356931409e-10       1.253330063630e-13      -4.165021348836e-12       0.000000000000e+00       7.813122542131e-12       1.182431967902e-12      -6.447277212673e-15 
  114       4.147080393378e-10       1.268577307183e-13      -4.247109399542e-12       0.000000000000e+00       7.630408440163e-12       1.160715672162e-12      -6.429658690586e-15 
  115       4.190972327933e-10       1.283382007848e-13      -4.328310677345e-12       0.000000000000e+00       7.452896422092e-12       1.139502508083e-12      -6.407752199029e-15 
  116       4.235020615218e-10       1.297728284691e-13      -4.408560491331e-12       0.000000000000e+00       7.280138108941e-12       1.118734670531e-12      -6.377248895203e-15 
  117       4.279218835423e-10       1.311601597747e-13      -4.487788017874e-12       0.000000000000e+00       7.112067421999e-12       1.098407761408e-12      -6.337718352175e-15 
  118       4.323561422114e-10       1.324987977477e-13      -4.565920633078e-12       0.000000000000e+00       6.948698051937e-12       1.078529310507e-12      -6.289778055471e-15 
  119       4.368041950255e-10       1.337873764304e-13      -4.642885445387e-12       0.000000000000e+00       6.790017182472e-12       1.059104221004e-12      -6.234104889577e-15 
  120       4.412653108738e-10       1.350245622250e-13      -4.718609323613e-12       0.000000000000e+00       6.635984677913e-12       1.040134683784e-12      -6.171436478818e-15 
