# Matter power spectrum P(k) at redshift z=0
# for k=1.04545e-05 to 1.69273 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.089851755668e-02       1.525089789167e+04 
       4.110619799744e-02       1.517621774506e+04 
       4.131641407703e-02       1.510154338958e+04 
       4.152927699257e-02       1.502704328514e+04 
       4.174490476035e-02       1.495218414074e+04 
       4.196342277244e-02       1.487750280643e+04 
       4.218496441052e-02       1.480257318279e+04 
       4.240967172394e-02       1.472769605518e+04 
       4.263769618017e-02       1.465258572726e+04 
       4.286919949696e-02       1.457736524901e+04 
       4.310435456697e-02       1.450193605741e+04 
       4.334334648730e-02       1.442647425906e+04 
       4.358637370823e-02       1.435108019880e+04 
       4.383364931791e-02       1.427511825525e+04 
       4.408540248240e-02       1.419933673941e+04 
       4.434188006369e-02       1.412318563664e+04 
       4.460334844238e-02       1.404656740553e+04 
       4.487009557604e-02       1.397007020982e+04 
       4.514243333028e-02       1.389298409881e+04 
       4.542070012581e-02       1.381596020664e+04 
       4.570526395341e-02       1.373846224795e+04 
       4.599652581814e-02       1.366045363702e+04 
       4.629492368658e-02       1.358227050157e+04 
       4.660093702541e-02       1.350373204540e+04 
       4.691509203784e-02       1.342498463233e+04 
       4.723796772686e-02       1.334501183048e+04 
       4.757020294186e-02       1.326511984412e+04 
       4.791250459995e-02       1.318446739187e+04 
       4.826565731606e-02       1.310311107549e+04 
       4.863053473054e-02       1.302105647374e+04 
       4.900811289056e-02       1.293844589875e+04 
       4.939948612838e-02       1.285488931705e+04 
       4.980588598831e-02       1.277050769989e+04 
       5.022870389377e-02       1.268488437616e+04 
       5.066951842244e-02       1.259839160799e+04 
       5.113012828376e-02       1.251096655907e+04 
       5.161259238028e-02       1.242146610652e+04 
       5.211927869902e-02       1.233137083701e+04 
       5.265292423706e-02       1.223896995668e+04 
       5.321670873291e-02       1.214433840195e+04 
       5.381434565749e-02       1.204798728853e+04 
       5.445019469944e-02       1.194883100050e+04 
       5.512940078587e-02       1.184635429271e+04 
       5.585806531872e-02       1.174042594720e+04 
       5.664345534382e-02       1.163097401292e+04 
       5.749425489006e-02       1.151586654328e+04 
       5.842085791008e-02       1.139471440792e+04 
       5.943569071704e-02       1.126592620499e+04 
       6.055352757495e-02       1.112705702371e+04 
       6.179171680997e-02       1.097645959998e+04 
       6.317015499196e-02       1.081085661368e+04 
       6.471072859239e-02       1.062428489769e+04 
       6.643581531982e-02       1.041155029299e+04 
       6.836541934419e-02       1.016644334778e+04 
       7.051285877273e-02       9.880855731220e+03 
       7.287988444470e-02       9.549309063827e+03 
       7.545340680373e-02       9.168768687175e+03 
       7.820631665654e-02       8.743367359670e+03 
       8.110289958536e-02       8.282051075844e+03 
       8.410626731470e-02       7.801983955057e+03 
       8.718423248496e-02       7.320352626871e+03 
       9.031191538487e-02       6.856670627245e+03 
       9.347165125924e-02       6.426170866425e+03 
       9.665159726251e-02       6.039890154666e+03 
       9.984410552629e-02       5.704100504463e+03 
       1.030443534761e-01       5.420257785366e+03 
       1.062493449867e-01       5.185797928982e+03 
       1.094572355941e-01       4.994853022911e+03 
       1.126668960818e-01       4.839456596124e+03 
       1.158776373739e-01       4.710076807384e+03 
       1.190890397397e-01       4.597060642396e+03 
       1.223008477263e-01       4.490636524448e+03 
       1.255129058790e-01       4.382878852570e+03 
       1.287251195467e-01       4.267520655753e+03 
       1.319374310300e-01       4.140523443023e+03 
       1.351498050828e-01       4.000388466275e+03 
       1.383622201055e-01       3.848170995905e+03 
       1.415746627970e-01       3.687531358056e+03 
       1.447871249077e-01       3.521965372955e+03 
       1.479996012670e-01       3.356702066878e+03 
       1.512120885864e-01       3.196868989674e+03 
