# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  127       4.792201953613e-10       1.447986839251e-13      -5.279512461663e-12       6.711991226182e-16       5.395683888306e-12       8.486083217430e-13      -5.346395072086e-15 
  128       4.838307939814e-10       1.456090393398e-13      -5.343490926730e-12       6.823136476275e-16       5.280089838464e-12       8.346301455886e-13      -5.285561959515e-15 
  129       4.884434349326e-10       1.463572188816e-13      -5.405545990136e-12       6.935417480388e-16       5.167325556598e-12       8.209123798324e-13      -5.223399871392e-15 
  130       4.930571777075e-10       1.470425114334e-13      -5.465610020018e-12       7.048842406190e-16       5.057356360108e-12       8.074539690586e-13      -5.159931678078e-15 
  131       4.976711784892e-10       1.476643095557e-13      -5.523616672651e-12       7.163419239810e-16       4.950193075505e-12       7.942607601919e-13      -5.095305396045e-15 
  132       5.022845346952e-10       1.482220722078e-13      -5.579500193079e-12       7.279156031709e-16       4.845834101008e-12       7.813374533467e-13      -5.029675869965e-15 
  133       5.068962834115e-10       1.487153264483e-13      -5.633195452605e-12       7.396060896007e-16       4.744265061585e-12       7.686875669226e-13      -4.963204868109e-15 
  134       5.115053998282e-10       1.491436691354e-13      -5.684637986277e-12       7.514142009817e-16       4.645458464001e-12       7.563134026990e-13      -4.896061177742e-15 
  135       5.161107956733e-10       1.495067686271e-13      -5.733764030378e-12       7.633407612567e-16       4.549373351865e-12       7.442160109299e-13      -4.828420700520e-15 
  136       5.207113176485e-10       1.498043664817e-13      -5.780510559916e-12       7.753866005327e-16       4.455954960676e-12       7.323951554393e-13      -4.760466547891e-15 
