# dimensionless total [l(l+1)/2pi] C_l's
# for l=1 to 300, i.e. number of multipoles equal to 299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[2]-dens[2]        4:dens[3]-dens[3]    
  228       1.264405030589e-02       8.110855125680e-03       6.352725360207e-03 
  229       1.266512246553e-02       8.125183337224e-03       6.372733329723e-03 
  230       1.268587771925e-02       8.139678970166e-03       6.392261854269e-03 
  231       1.270632120233e-02       8.154349536139e-03       6.411313716206e-03 
  232       1.272645806194e-02       8.169202455669e-03       6.429892002180e-03 
  233       1.274629345539e-02       8.184245055123e-03       6.448000106637e-03 
  234       1.276583254837e-02       8.199484563666e-03       6.465641735348e-03 
  235       1.278508051323e-02       8.214928110210e-03       6.482820908924e-03 
  236       1.280404252726e-02       8.230582720363e-03       6.499541966340e-03 
  237       1.282272377089e-02       8.246455313383e-03       6.515809568451e-03 
  238       1.284112942601e-02       8.262552699131e-03       6.531628701513e-03 
  239       1.285926467418e-02       8.278881575017e-03       6.547004680704e-03 
  240       1.287713469492e-02       8.295448522956e-03       6.561943153641e-03 
  241       1.289474466395e-02       8.312260006319e-03       6.576450103902e-03 
  242       1.291209975148e-02       8.329322366882e-03       6.590531854543e-03 
  243       1.292920512043e-02       8.346641821779e-03       6.604195071621e-03 
  244       1.294606592469e-02       8.364224460454e-03       6.617446767710e-03 
  245       1.296268730743e-02       8.382076241609e-03       6.630294305423e-03 
  246       1.297907439928e-02       8.400202990161e-03       6.642745400932e-03 
  247       1.299523231668e-02       8.418610394188e-03       6.654808127486e-03 
  248       1.301116616004e-02       8.437304001884e-03       6.666490918931e-03 
  249       1.302688101208e-02       8.456289218507e-03       6.677802573230e-03 
  250       1.304238176158e-02       8.475569330229e-03       6.688752199500e-03 
  251       1.305767256708e-02       8.495139455484e-03       6.699349048475e-03 
  252       1.307275735883e-02       8.514992238556e-03       6.709602679092e-03 
  253       1.308764000843e-02       8.535119784481e-03       6.719523017489e-03 
  254       1.310232432677e-02       8.555513652225e-03       6.729120360413e-03 
  255       1.311681406193e-02       8.576164847866e-03       6.738405378636e-03 
  256       1.313111289710e-02       8.597063817764e-03       6.747389120365e-03 
  257       1.314522444855e-02       8.618200441747e-03       6.756083014651e-03 
  258       1.315915226349e-02       8.639564026286e-03       6.764498874804e-03 
  259       1.317289981805e-02       8.661143297673e-03       6.772648901802e-03 
  260       1.318647051519e-02       8.682926395197e-03       6.780545687706e-03 
  261       1.319986768259e-02       8.704900864327e-03       6.788202219069e-03 
  262       1.321309457063e-02       8.727053649887e-03       6.795631880346e-03 
  263       1.322615435029e-02       8.749371089234e-03       6.802848457310e-03 
  264       1.323905011106e-02       8.771838905437e-03       6.809866140461e-03 
  265       1.325178485888e-02       8.794442200454e-03       6.816699528437e-03 
  266       1.326436151408e-02       8.817165448312e-03       6.823363631428e-03 
  267       1.327678290929e-02       8.839992488283e-03       6.829873874584e-03 
  268       1.328905178733e-02       8.862906518064e-03       6.836246101431e-03 
  269       1.330117079922e-02       8.885890086955e-03       6.842496577280e-03 
  270       1.331314250203e-02       8.908925089033e-03       6.848641992637e-03 
  271       1.332496935682e-02       8.931992756338e-03       6.854699466619e-03 
  272       1.333665372660e-02       8.955073652043e-03       6.860686550362e-03 
  273       1.334819787421e-02       8.978147663636e-03       6.866621230434e-03 
  274       1.335960396027e-02       9.001193996100e-03       6.872521932247e-03 
  275       1.337087404112e-02       9.024191165087e-03       6.878407523467e-03 
  276       1.338201006671e-02       9.047116990098e-03       6.884297317427e-03 
  277       1.339301387852e-02       9.069948587663e-03       6.890211076539e-03 
  278       1.340388720755e-02       9.092662364514e-03       6.896169015703e-03 
  279       1.341463366837e-02       9.115240573936e-03       6.902188523503e-03 
  280       1.342526486017e-02       9.137691374834e-03       6.908274130727e-03 
  281       1.343579457777e-02       9.160029798603e-03       6.914427028774e-03 
  282       1.344623684490e-02       9.182271282824e-03       6.920648303438e-03 
  283       1.345660591519e-02       9.204431674511e-03       6.926938933276e-03 
  284       1.346691627313e-02       9.226527233381e-03       6.933299787981e-03 
  285       1.347718263512e-02       9.248574635107e-03       6.939731626749e-03 
  286       1.348741995041e-02       9.270590974582e-03       6.946235096650e-03 
  287       1.349764340210e-02       9.292593769176e-03       6.952810730999e-03 
  288       1.350786840816e-02       9.314600961998e-03       6.959458947723e-03 
  289       1.351811062238e-02       9.336630925153e-03       6.966180047734e-03 
  290       1.352838593541e-02       9.358702463004e-03       6.972974213294e-03 
  291       1.353871047570e-02       9.380834815432e-03       6.979841506391e-03 
  292       1.354910061054e-02       9.403047661094e-03       6.986781867106e-03 
  293       1.355957294700e-02       9.425361120685e-03       6.993795111978e-03 
  294       1.357014433297e-02       9.447795760196e-03       7.000880932384e-03 
  295       1.358083185813e-02       9.470372594173e-03       7.008038892900e-03 
  296       1.359165285494e-02       9.493113088980e-03       7.015268429673e-03 
  297       1.360262489962e-02       9.516039166057e-03       7.022568848794e-03 
  298       1.361376581317e-02       9.539173205176e-03       7.029939324665e-03 
  299       1.362509366236e-02       9.562538047710e-03       7.037378898367e-03 
  300       1.363662676067e-02       9.586156999883e-03       7.044886476036e-03 
